sku,variant_name,color,swatch_width,swatch_length,width_real_size,length_real_size,top_down_image_url,product_url,product_name,product_status,application_method,cart_url,surface_applicability,category,collection,wallpaper_type,variant_id,product_id,variant_price,variant_inventory_quantity
AR-12-AB-V05-RED-SMO,Red / Smooth,Red,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/sage-folk-motif-carousel-art-wallpaper-view-21-mural-inequal.jpg?v=1735145406,https://www.themuralstory.com/products/traditional-indian-folk-art-wallpaper-sage-green-with-festive-motifs,Indian Folk Art Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/traditional-indian-folk-art-wallpaper-sage-green-with-festive-motifs,"bedroom, commercial spaces, dining room, hobby room, kitchen, living room",Wallpaper,"[""Art"",""Mughal"",""Designer's Choice""]",Mural,50612487258280,8671001936040,149,200000
PI-01-MS-V03-OLV-SMO,Olive / Smooth,Olive,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/sage-arch-elephant-motif-pichwai-wallpaper-view-6-mural-inequal.jpg?v=1735058216,https://www.themuralstory.com/products/indian-palace-heritage-wallpaper-intricate-arch-and-elephant-design,Indian Palace Heritage Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/indian-palace-heritage-wallpaper-intricate-arch-and-elephant-design,"bedroom, commercial spaces, dining room, foyer, hobby room, kitchen, living room",Wallpaper,"[""Pichwai"",""Religion"",""Art"",""Designer's Choice""]",Mural,50612371488936,8673262960808,149,200000
PI-01-MS-V01-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/sage-arch-elephant-motif-pichwai-wallpaper-view-14-mural-inequal.jpg?v=1735058216,https://www.themuralstory.com/products/indian-palace-heritage-wallpaper-intricate-arch-and-elephant-design,Indian Palace Heritage Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/indian-palace-heritage-wallpaper-intricate-arch-and-elephant-design,"bedroom, commercial spaces, dining room, foyer, hobby room, kitchen, living room",Wallpaper,"[""Pichwai"",""Religion"",""Art"",""Designer's Choice""]",Mural,50612371652776,8673262960808,149,200000
PI-01-MS-V02-BLU-SMO,Blue / Smooth,Blue,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/sage-arch-elephant-motif-pichwai-wallpaper-view-19-mural-inequal.jpg?v=1735058216,https://www.themuralstory.com/products/indian-palace-heritage-wallpaper-intricate-arch-and-elephant-design,Indian Palace Heritage Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/indian-palace-heritage-wallpaper-intricate-arch-and-elephant-design,"bedroom, commercial spaces, dining room, foyer, hobby room, kitchen, living room",Wallpaper,"[""Pichwai"",""Religion"",""Art"",""Designer's Choice""]",Mural,50612371816616,8673262960808,149,200000
HC-42-JK-V01-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-palace-garden-motif-mughal-wallpaper-view-7-mural-inequal.jpg?v=1735057442,https://www.themuralstory.com/products/rich-indian-architecture-theme,Indian Rich Architecture Theme,active,Paste,https://www.themuralstory.com/collections/all-products/products/rich-indian-architecture-theme,"bedroom, commercial spaces, dining room, hobby room, kitchen, living room",Wallpaper,"[""Mughal"",""Royal"",""Flora""]",Mural,50662304448680,8697109643432,149,200000
HC-42-JK-V02-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-palace-garden-motif-mughal-wallpaper-view-12-mural-inequal.jpg?v=1735057442,https://www.themuralstory.com/products/rich-indian-architecture-theme,Indian Rich Architecture Theme,active,Paste,https://www.themuralstory.com/collections/all-products/products/rich-indian-architecture-theme,"bedroom, commercial spaces, dining room, hobby room, kitchen, living room",Wallpaper,"[""Mughal"",""Royal"",""Flora""]",Mural,50662304612520,8697109643432,149,200000
HC-42-JK-V03-ONG-SMO,Orange / Smooth,Orange,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-palace-garden-motif-mughal-wallpaper-view-17-mural-inequal.jpg?v=1735057442,https://www.themuralstory.com/products/rich-indian-architecture-theme,Indian Rich Architecture Theme,active,Paste,https://www.themuralstory.com/collections/all-products/products/rich-indian-architecture-theme,"bedroom, commercial spaces, dining room, hobby room, kitchen, living room",Wallpaper,"[""Mughal"",""Royal"",""Flora""]",Mural,50662304776360,8697109643432,149,200000
MT-05-SG-V01-BRN-SMO,Brown / Smooth,Brown,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/75054be492e0e78179b040b8459a5eea.jpg?v=1735479904,https://www.themuralstory.com/products/decorative-floral-stripe-motifs-wallpaper,Intricate Mughal Floral Patterns Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/decorative-floral-stripe-motifs-wallpaper,"bedroom, dining room, living room",Wallpaper,"[""Motifs"",""Mughal""]",Mural,50597040980136,8525536723112,149,200000
MT-05-SG-V04-SLV-SMO,Silver / Smooth,Silver,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/896d9ff93ddb41a96a3ca718e135bc36.jpg?v=1735479917,https://www.themuralstory.com/products/decorative-floral-stripe-motifs-wallpaper,Intricate Mughal Floral Patterns Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/decorative-floral-stripe-motifs-wallpaper,"bedroom, dining room, living room",Wallpaper,"[""Motifs"",""Mughal""]",Mural,50597041143976,8525536723112,149,200000
MT-05-SG-V02-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/d673f26909e569a24c2ee3d2e8e15d70.jpg?v=1735479938,https://www.themuralstory.com/products/decorative-floral-stripe-motifs-wallpaper,Intricate Mughal Floral Patterns Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/decorative-floral-stripe-motifs-wallpaper,"bedroom, dining room, living room",Wallpaper,"[""Motifs"",""Mughal""]",Mural,50597041307816,8525536723112,149,200000
MT-05-SG-V03-PPL-SMO,Purple / Smooth,Purple,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/2d910568ba49efa50890b9d150627ac1.jpg?v=1735479947,https://www.themuralstory.com/products/decorative-floral-stripe-motifs-wallpaper,Intricate Mughal Floral Patterns Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/decorative-floral-stripe-motifs-wallpaper,"bedroom, dining room, living room",Wallpaper,"[""Motifs"",""Mughal""]",Mural,50597041471656,8525536723112,149,200000
MG-01-SK-V01-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/mughal-arch-floral-paradise-columns-mughal-wallpaper-view-7-mural-inequal.jpg?v=1733915027,https://www.themuralstory.com/products/jharokha-paradise-mughal-inspired-nature-wall-decor,Jharokha Paradise: Mughal-Inspired Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/jharokha-paradise-mughal-inspired-nature-wall-decor,"dining room, foyer, hobby room, living room",Wallpaper,"[""Mughal"",""Royal"",""Flora"",""Fauna"",""Designer's Choice""]",Mural,50612374929576,8622332018856,149,200000
MG-01-SK-V02-PPL-SMO,Purple / Smooth,Purple,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/mughal-arch-floral-paradise-columns-mughal-wallpaper-view-11-mural-inequal.jpg?v=1733915027,https://www.themuralstory.com/products/jharokha-paradise-mughal-inspired-nature-wall-decor,Jharokha Paradise: Mughal-Inspired Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/jharokha-paradise-mughal-inspired-nature-wall-decor,"dining room, foyer, hobby room, living room",Wallpaper,"[""Mughal"",""Royal"",""Flora"",""Fauna"",""Designer's Choice""]",Mural,50612375093416,8622332018856,149,200000
MG-01-SK-V03-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/mughal-arch-floral-paradise-columns-mughal-wallpaper-view-16-mural-inequal.jpg?v=1733915027,https://www.themuralstory.com/products/jharokha-paradise-mughal-inspired-nature-wall-decor,Jharokha Paradise: Mughal-Inspired Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/jharokha-paradise-mughal-inspired-nature-wall-decor,"dining room, foyer, hobby room, living room",Wallpaper,"[""Mughal"",""Royal"",""Flora"",""Fauna"",""Designer's Choice""]",Mural,50612375257256,8622332018856,149,200000
MG-01-SK-V04-BLU-SMO,Blue / Smooth,Blue,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/mughal-arch-floral-paradise-columns-mughal-wallpaper-view-22-mural-inequal.jpg?v=1733915027,https://www.themuralstory.com/products/jharokha-paradise-mughal-inspired-nature-wall-decor,Jharokha Paradise: Mughal-Inspired Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/jharokha-paradise-mughal-inspired-nature-wall-decor,"dining room, foyer, hobby room, living room",Wallpaper,"[""Mughal"",""Royal"",""Flora"",""Fauna"",""Designer's Choice""]",Mural,50612375421096,8622332018856,149,200000
KI-21-AK-V04-BLU-SMO,Blue / Smooth,Blue,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/musical-animals-cherry-blossom-parade-kids-wallpaper-view-5-mural-inequal.jpg?v=1735192125,https://www.themuralstory.com/products/joyful-animal-parade-playful-music-themed-wallpaper-for-kids-rooms,Joyful Animal Parade Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/joyful-animal-parade-playful-music-themed-wallpaper-for-kids-rooms,kidstoom,Wallpaper,"[""Kids""]",Mural,50612376141992,8597421883560,149,200000
KI-21-AK-V01-YEL-SMO,Yellow / Smooth,Yellow,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/musical-animals-cherry-blossom-parade-kids-wallpaper-view-12-mural-inequal.jpg?v=1735192125,https://www.themuralstory.com/products/joyful-animal-parade-playful-music-themed-wallpaper-for-kids-rooms,Joyful Animal Parade Wallpaper,active,Paste,https://www.themuralstory.com/collections/all-products/products/joyful-animal-parade-playful-music-themed-wallpaper-for-kids-rooms,kidstoom,Wallpaper,"[""Kids""]",Mural,50612376305832,8597421883560,149,200000
