sku,variant_name,color,swatch_width,swatch_length,width_real_size,length_real_size,top_down_image_url,product_url,product_name,product_status,application_method,cart_url,surface_applicability,category,collection,wallpaper_type,product_id,variant_id,variant_price,variant_inventory_quantity
PI-01-AA-V04-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/indian-elephant-lotus-motif-royal-mughal-wallpaper-view-17-mural-inequal.jpg?v=1735193234,https://www.themuralstory.com/collections/designers-choice/products/majestic-elephant-and-lotus-wallpaper-traditional-indian-inspired-design-for-elegant-interiors,Lotus Harmony with Regal Elephant Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/majestic-elephant-and-lotus-wallpaper-traditional-indian-inspired-design-for-elegant-interiors,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"Patterns, Royal",Mural,8696957337768,50612394655912,149,200000
PI-01-AA-V05-BRN-SMO,Brown / Smooth,Brown,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/indian-elephant-lotus-motif-royal-mughal-wallpaper-view-21-mural-inequal.jpg?v=1735193234,https://www.themuralstory.com/collections/designers-choice/products/majestic-elephant-and-lotus-wallpaper-traditional-indian-inspired-design-for-elegant-interiors,Lotus Harmony with Regal Elephant Wallpaper,active,Paste,https://www.themuralstory.com/collections/designers-choice/products/majestic-elephant-and-lotus-wallpaper-traditional-indian-inspired-design-for-elegant-interiors,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"Patterns, Royal",Mural,8696957337768,50612394819752,149,200000
MT-20-SG-V02-GRN-SMO,Green / Smooth,Green,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/vintage-crimson-lotus-sage-damask-motifs-wallpaper-view-4-mural-inequal.jpg?v=1734694210,https://www.themuralstory.com/collections/designers-choice/products/luxurious-floral-motif-wallpaper-art,Lotus Symphony: A Floral Tapestry Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/luxurious-floral-motif-wallpaper-art,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"Motifs, Flora",Mural,8527033565352,50612386693288,149,200000
MT-20-SG-V04-PPL-SMO,Purple / Smooth,Purple,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/vintage-crimson-lotus-sage-damask-motifs-wallpaper-view-9-mural-inequal.jpg?v=1734694210,https://www.themuralstory.com/collections/designers-choice/products/luxurious-floral-motif-wallpaper-art,Lotus Symphony: A Floral Tapestry Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/luxurious-floral-motif-wallpaper-art,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"Motifs, Flora",Mural,8527033565352,50612386857128,149,200000
MT-20-SG-V01-RED-SMO,Red / Smooth,Red,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/vintage-crimson-lotus-sage-damask-motifs-wallpaper-view-15-mural-inequal.jpg?v=1734694210,https://www.themuralstory.com/collections/designers-choice/products/luxurious-floral-motif-wallpaper-art,Lotus Symphony: A Floral Tapestry Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/luxurious-floral-motif-wallpaper-art,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"Motifs, Flora",Mural,8527033565352,50612387020968,149,200000
MT-20-SG-V03-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/vintage-crimson-lotus-sage-damask-motifs-wallpaper-view-21-mural-inequal.jpg?v=1733997002,https://www.themuralstory.com/collections/designers-choice/products/luxurious-floral-motif-wallpaper-art,Lotus Symphony: A Floral Tapestry Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/luxurious-floral-motif-wallpaper-art,"bedroom, commercial, dining, foyer, kitchen, living room",Wallpaper,"Motifs, Flora",Mural,8527033565352,50612387184808,149,200000
PI-31-JK-V01-BEI-SMO,Beige / Smooth,Beige,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/4ce4298e79d6a14b01742371ed6c0cc3.jpg?v=1735193750,https://www.themuralstory.com/collections/designers-choice/products/traditional-pichwai-cow-and-lotus-motif-wallpaper-cultural-elegance,Lush Botanical Patterns with Cow Motifs Pichwai Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/traditional-pichwai-cow-and-lotus-motif-wallpaper-cultural-elegance,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Motifs, Flora",Mural,8659229409448,50612490731688,149,200000
PI-31-JK-V02-PNK-SMO,Pink / Smooth,Pink,,,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/pichwai-lotus-cow-motif-traditional-pichwai-wallpaper-view-9-mural-inequal.jpg?v=1735193750,https://www.themuralstory.com/collections/designers-choice/products/traditional-pichwai-cow-and-lotus-motif-wallpaper-cultural-elegance,Lush Botanical Patterns with Cow Motifs Pichwai Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/traditional-pichwai-cow-and-lotus-motif-wallpaper-cultural-elegance,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Motifs, Flora",Mural,8659229409448,50612490895528,149,200000
FL-01-AA-V01-GRN-SMO,Green / Smooth,Green,20,20,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-palm-bird-paradise-leaves-flora-wallpaper-view-7-repeat-original.jpg?v=1733992747,https://www.themuralstory.com/collections/designers-choice/products/tropical-paradise-flora-wallpaper,Lush Tropics: Vibrant Leaf and Flower Design Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/tropical-paradise-flora-wallpaper,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Flora, Tropical",Repeat,8628892139688,50612383711400,149,200000
FL-01-AA-V02-BLU-SMO,Blue / Smooth,Blue,20,20,,,https://cdn.shopify.com/s/files/1/0647/9314/9608/files/tropical-palm-bird-paradise-leaves-flora-wallpaper-view-14-repeat-original.jpg?v=1733992747,https://www.themuralstory.com/collections/designers-choice/products/tropical-paradise-flora-wallpaper,Lush Tropics: Vibrant Leaf and Flower Design Wallpaper,draft,Paste,https://www.themuralstory.com/collections/designers-choice/products/tropical-paradise-flora-wallpaper,"bedroom, commercial, dining, hobby room, kitchen, living room",Wallpaper,"Flora, Tropical",Repeat,8628892139688,50612383875240,149,200000
